DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,
7/10/2008,WEST,180,222,247,226,172,165,192,209,174,123,138,236,296,328,318,325,300,317,186,111,135,206,194,332,
7/11/2008,WEST,414,404,436,440,373,328,250,213,113,34,14,13,28,32,117,276,223,148,174,141,174,289,363,393,
7/12/2008,WEST,354,356,473,543,480,344,220,275,255,73,30,69,42,70,60,150,224,305,137,237,249,148,173,174,
7/13/2008,WEST,260,303,334,352,382,407,427,381,263,193,159,153,257,352,416,506,543,504,444,369,270,229,251,288,
7/14/2008,WEST,300,304,331,319,270,191,144,97,75,17,5,25,48,54,51,47,44,43,39,18,19,46,63,95,
7/15/2008,WEST,119,169,231,250,255,259,232,201,154,78,59,63,80,137,180,231,258,266,247,211,176,190,176,171,
7/16/2008,WEST,202,257,273,268,225,203,184,178,122,47,17,25,26,48,70,115,145,140,102,40,16,26,53,91,
7/17/2008,WEST,134,234,269,308,310,323,279,229,148,46,43,97,125,114,99,101,118,116,99,93,107,168,232,213,
7/18/2008,WEST,262,348,351,341,284,218,224,191,133,74,50,32,31,47,57,54,27,24,7,-1,0,13,30,25,
7/19/2008,WEST,67,83,108,148,75,51,53,55,42,56,102,81,127,148,118,99,87,98,70,48,39,25,10,24,
7/20/2008,WEST,79,240,313,238,123,184,209,168,141,89,66,63,89,92,87,63,73,86,71,73,87,48,46,65,
7/21/2008,WEST,89,64,65,65,49,36,44,250,308,236,76,57,66,69,55,48,74,24,15,15,63,177,223,282,
7/22/2008,WEST,86,60,67,72,71,119,131,225,135,42,6,35,62,55,47,72,97,72,103,109,87,80,176,229,
7/23/2008,WEST,168,111,125,136,180,230,291,234,133,64,52,33,49,43,35,26,60,97,86,41,34,77,107,139,
7/24/2008,WEST,135,140,132,122,118,127,97,103,103,76,66,51,36,47,129,164,111,147,151,74,71,57,78,104,
