Market Day,Central ActualLoad (MWh),Central MTLF (MWh),East ActualLoad (MWh),East MTLF (MWh),MISO ActualLoad (MWh),MISO ISO MTLF (MWh),MISO MTLF (MWh),Midwest ISO ActualLoad (MWh),Midwest ISO MTLF (MWh),North ActualLoad (MWh),North MTLF (MWh),South ActualLoad (MWh),South MTLF (MWh),West ActualLoad (MWh),West MTLF (MWh)
04/05/2011,21181.8408333,20597.25,28019.775,28674.5416667,,,,64636.5991667,64874.5416667,,,,,15434.9833333,15602.75
04/06/2011,20718.4445833,20433.6666667,28250.5054167,28631.8333333,,,,64024.9891667,64360.5416667,,,,,15056.0391667,15295.0416667
04/07/2011,20223.71375,20331.2083333,27783.6345833,28299.75,,,,63249.0829167,63745.75,,,,,15241.7345833,15114.7916667
04/08/2011,20149.7958333,20095.1666667,27403.06375,27352.8333333,,,,62441.4520833,62382.9166667,,,,,14888.5925,14934.9166667
04/09/2011,19120.4245833,19395.4166667,24127.88125,24659.75,,,,56849.1870833,57690.5416667,,,,,13600.88125,13635.375
04/10/2011,19534.835,19261.6666667,23167.1204167,24470.4583333,,,,56160.25375,57001.1666667,,,,,13458.2983333,13269.0416667
04/11/2011,20532.0325,20553.7916667,26836.1433333,27559.5416667,,,,62061.02625,63110.0833333,,,,,14692.8504167,14996.75
04/12/2011,19992.9858333,20363.9166667,27300.5445833,27609.0416667,,,,62044.8829167,62955.9166667,,,,,14751.3525,14982.9583333
04/13/2011,20202.8970833,20044.375,27306.3045833,27846.7916667,,,,62364.2483333,62796.25,,,,,14855.0466667,14905.0833333
04/14/2011,20003.73125,20065.2083333,27368.3020833,27776.875,,,,62720.4254167,62860.1666667,,,,,15348.3920833,15018.0833333
04/15/2011,19830.9695833,19916.875,27229.5266667,27782.7083333,,,,62685.1683333,62858.2916667,,,,,15624.6720833,15158.7083333
04/16/2011,19242.12125,18485.4583333,24812.3491667,24733.1666667,,,,58526.955,57261.0833333,,,,,14472.4845833,14042.4583333
04/17/2011,18481.845,18426.9166667,23843.1695833,24340.875,,,,56059.26625,56498.25,,,,,13734.2516667,13730.4583333
04/18/2011,20030.555,20231.875,28022.5820833,28600.0,,,,63401.55125,64222.8333333,,,,,15348.4141667,15390.9583333
04/19/2011,20859.3233333,20615.1666667,28928.5895833,29116.7083333,,,,65569.9183333,65446.9166667,,,,,15782.0054167,15715.0416667
04/20/2011,20251.9075,20670.6666667,28366.26125,28948.4583333,,,,64264.9641667,65332.4583333,,,,,15646.7954167,15713.3333333
04/21/2011,20368.1395833,20414.875,27411.6775,28685.1666667,,,,63372.5558333,64516.875,,,,,15592.73875,15416.8333333
04/22/2011,19391.6475,19261.2083333,25846.09625,26378.9583333,,,,60225.3704167,60506.75,,,,,14987.6266667,14866.5833333
04/23/2011,17961.1558333,18110.125,23238.19375,23953.0,,,,54889.71125,55659.625,,,,,13690.3616667,13596.5
04/24/2011,17362.7858333,17365.625,21637.2545833,22539.1666667,,,,51726.3916667,52710.5,,,,,12726.35125,12805.7083333
04/25/2011,20068.48375,20019.625,26714.9145833,26981.9583333,,,,61386.2079167,61662.0,,,,,14602.8095833,14660.4166667
04/26/2011,20364.1254167,20637.75,27626.7195833,28303.0416667,,,,63095.5566667,64083.5833333,,,,,15104.7116667,15142.7916667
04/27/2011,20384.2054167,20505.9583333,27522.99125,28410.0,,,,63130.76875,64207.4166667,,,,,15223.5720833,15291.4583333
04/28/2011,20364.7083333,20320.75,27271.07875,28058.9166667,,,,62804.33375,63439.9583333,,,,,15168.5466667,15060.2916667
04/29/2011,19778.2041667,19757.5,26756.6833333,27233.6666667,,,,61280.49125,61716.9166667,,,,,14745.60375,14725.75
04/30/2011,18266.4204167,17976.375,23618.9445833,24599.2916667,,,,55391.0470833,55962.6666667,,,,,13505.6820833,13387.0
05/01/2011,17838.76125,17527.7083333,22544.0054167,23495.3333333,,,,53919.8095833,54285.3333333,,,,,13537.0429167,13262.2916667
05/02/2011,20280.5558333,20459.7083333,26571.2666667,27665.4583333,,,,61869.3941667,63457.3333333,,,,,15017.5716667,15332.1666667
05/03/2011,20444.7129167,20435.3333333,27492.2879167,28302.9583333,,,,62825.43875,63738.2916667,,,,,14888.4379167,15000.0
05/04/2011,20558.80125,20395.7083333,27330.45125,27918.125,,,,62785.1879167,63170.8333333,,,,,14895.9354167,14857.0
05/05/2011,20335.0470833,20204.5833333,27033.7779167,27846.375,,,,62158.5375,62941.5,,,,,14789.7125,14890.5416667
05/06/2011,19591.70625,19314.8333333,26473.9520833,27164.75,,,,60458.7495833,61072.0,,,,,14393.09125,14592.4166667
05/07/2011,18173.8791667,17790.7916667,23486.5504167,24038.9166667,,,,54585.2920833,54857.3333333,,,,,12924.8625,13027.625
05/08/2011,18012.8816667,17809.5,22057.9645833,22924.6666667,,,,52707.7829167,53474.0416667,,,,,12636.9366667,12739.875
05/09/2011,21247.44875,21064.4583333,26520.77625,26772.5833333,,,,62982.0783333,62792.3333333,,,,,15213.8533333,14955.2916667
05/10/2011,23078.6320833,22898.5416667,27039.15375,27686.2916667,,,,66782.4470833,67137.2083333,,,,,16664.66125,16552.375
05/11/2011,24833.3341667,23499.5833333,27827.4583333,28000.0416667,,,,69050.1870833,68708.3333333,,,,,16389.3945833,17208.7083333
05/12/2011,24814.4454167,23995.375,29188.51125,29126.7916667,,,,69955.13,69056.625,,,,,15952.1733333,15934.4583333
05/13/2011,22322.2691667,22555.625,28826.07875,29016.5,,,,66209.63375,66678.5416667,,,,,15061.2858333,15106.4166667
05/14/2011,18817.88125,18854.9166667,24465.23625,24691.375,,,,57036.3079167,56829.9583333,,,,,13753.1904167,13283.6666667
05/15/2011,18032.74875,18215.9166667,23045.1375,23247.375,,,,54117.15375,54499.9583333,,,,,13039.2675,13036.6666667
05/16/2011,20048.6583333,20236.9166667,27095.1470833,27241.7916667,,,,61882.2695833,62235.3333333,,,,,14738.4641667,14756.625
05/17/2011,20388.3225,20221.5416667,27304.3854167,27580.7083333,,,,62457.7104167,62616.5416667,,,,,14765.0025,14814.2916667
05/18/2011,20191.1766667,20230.7916667,27302.1704167,27692.1666667,,,,62345.395,62917.25,,,,,14852.0479167,14994.2916667
05/19/2011,20216.7341667,20192.4166667,27505.9195833,27507.875,,,,62754.7166667,62766.1666667,,,,,15032.0629167,15065.875
05/20/2011,20831.11,21191.2916667,27270.1058333,27373.1666667,,,,63247.1141667,63876.5416667,,,,,15145.8983333,15312.0833333
05/21/2011,20378.56,19837.1666667,24713.0920833,25160.625,,,,59141.31625,58739.7083333,,,,,14049.6641667,13741.9166667
05/22/2011,20929.3666667,21050.5416667,25142.2954167,25204.0416667,,,,59539.4745833,59989.625,,,,,13467.8125,13735.0416667
05/23/2011,22396.9916667,23747.625,29119.1075,29828.375,,,,66915.90125,69076.1666667,,,,,15399.8020833,15500.1666667
05/24/2011,22991.4991667,23092.9583333,28557.55625,28177.125,,,,67106.73,66598.125,,,,,15557.6745833,15328.0416667
05/25/2011,23134.1216667,23745.375,28097.5929167,28447.0833333,,,,66268.4129167,67249.625,,,,,15036.6983333,15057.1666667
05/26/2011,20638.64,21604.375,27923.4975,28785.0833333,,,,63268.5216667,65295.8333333,,,,,14706.3841667,14906.375
05/27/2011,19647.55375,19760.2916667,26723.8095833,27099.9583333,,,,60908.3154167,61201.1666667,,,,,14536.9520833,14340.9166667
05/28/2011,18691.4216667,19222.25,23405.6241667,24456.8333333,,,,55028.7583333,56537.4166667,,,,,12931.7125,12858.3333333
05/29/2011,21396.9333333,21248.1666667,23560.31,25342.0416667,,,,57598.7641667,59329.75,,,,,12641.5208333,12739.5416667
05/30/2011,23978.6316667,23408.5833333,27268.85125,29165.9583333,,,,65723.8945833,67033.7916667,,,,,14476.4116667,14459.25
05/31/2011,27220.27625,26887.875,35468.9470833,34038.4583333,,,,78854.63875,77428.25,,,,,16165.4154167,16501.9166667
06/01/2011,26200.1833333,26458.5,22520.0641667,23627.0,,,,64328.6770833,65889.8333333,,,,,15608.4295833,15804.3333333
06/02/2011,23988.4358333,25278.875,20801.9833333,21720.4166667,,,,60907.6145833,63115.875,,,,,16117.1954167,16116.5833333
06/03/2011,25481.1108333,25499.3333333,21321.7691667,21653.25,,,,64633.0291667,64963.7083333,,,,,17830.1491667,17811.125
06/04/2011,26295.9308333,25526.75,22511.2966667,21605.1666667,,,,64659.1966667,63163.6666667,,,,,15851.9691667,16031.75
06/05/2011,23855.7408333,25890.2083333,20631.4058333,21177.7083333,,,,59873.8991667,62319.5416667,,,,,15386.7525,15251.625
06/06/2011,27395.3354167,27137.4166667,24470.91625,24481.75,,,,71480.2758333,70665.375,,,,,19614.0241667,19046.2083333
06/07/2011,29263.08625,29240.9166667,28976.4970833,28118.7083333,,,,79058.7733333,78391.625,,,,,20819.19,21032.0
